index,lon,lat,distance,link,reach,strahler,dslink
4736,-3.1875,52.57916700000001,260332.03125,115,1,1,215
4737,-3.1875,52.5875,259404.71875,115,1,1,215
4738,-3.179167,52.5875,258839.8125,115,1,1,215
4739,-3.179167,52.595833,257912.5,115,1,1,215
4740,-3.179167,52.604167,256985.171875,115,1,1,215
4741,-3.170833,52.604167,256420.484375,115,1,1,215
4742,-3.170833,52.6125,255493.15625,115,1,1,215
4743,-3.1625,52.6125,254928.578125,115,1,1,215
4744,-3.1625,52.620833,254001.25,115,1,1,215
4745,-3.154167,52.620833,253436.78125,115,1,1,215
4746,-3.154167,52.629167,252509.453125,115,1,1,215
4747,-3.145833,52.629167,251945.09375,115,1,1,215
4748,-3.145833,52.6375,251017.765625,115,1,1,215
4749,-3.145833,52.645833,250090.4375,115,1,1,215
4750,-3.1375,52.645833,249526.28125,115,1,1,215
4751,-3.1375,52.654167,248598.953125,115,1,1,215
4752,-3.129167,52.654167,248034.90625,115,1,1,215
4753,-3.129167,52.6625,247107.578125,115,1,1,215
4754,-3.120833,52.6625,246543.640625,115,1,1,215
4755,-3.120833,52.670833,245616.3125,115,1,1,215
4756,-3.1125,52.670833,245052.484375,115,1,1,215
4757,-3.1125,52.67916700000001,244125.15625,115,1,1,215
4758,-3.1125,52.6875,243197.828125,115,1,1,215
4759,-3.104167,52.6875,242634.21875,115,1,1,215
4760,-3.104167,52.69583299999999,241706.890625,115,1,1,215
4761,-3.0958330000000003,52.69583299999999,241143.375,115,1,1,215
4762,-3.0958330000000003,52.70416700000001,240216.03125,115,1,1,215
4763,-3.0875,52.70416700000001,239652.625,115,1,1,215
4764,-3.079167,52.70416700000001,239089.21875,115,1,1,215
4765,-3.079167,52.7125,238161.875,115,1,1,215
4766,-3.079167,52.720833,237234.53125,115,1,1,215
4767,-3.0708330000000004,52.720833,236671.34375,115,1,1,215
4768,-3.0708330000000004,52.729167,235744.0,115,1,1,215
4769,-3.0708330000000004,52.7375,234816.65625,115,1,1,215
4770,-3.0625,52.7375,234253.6875,115,1,1,215
4771,-3.054167,52.7375,233690.71875,115,1,1,215
4772,-3.054167,52.745833,232763.375,115,1,1,215
4773,-3.045833,52.745833,232200.515625,115,1,1,215
4774,-3.0375,52.745833,231637.65625,115,1,1,215
4775,-3.029167,52.745833,231074.796875,115,1,1,215
4304,-3.020833,52.745833,230511.9375,215,1,2,265
4305,-3.020833,52.7375,229584.59375,215,1,2,265
4306,-3.0125,52.7375,229021.625,215,1,2,265
4307,-3.004167,52.7375,228458.65625,215,1,2,265
4308,-2.995833,52.7375,227895.6875,215,1,2,265
4309,-2.9875,52.7375,227332.71875,215,1,2,265
4310,-2.979167,52.7375,226769.75,215,1,2,265
4311,-2.9708330000000003,52.7375,226206.78125,215,1,2,265
4312,-2.9708330000000003,52.745833,225279.4375,215,1,2,265
4313,-2.9625,52.745833,224716.578125,215,1,2,265
4314,-2.954167,52.745833,224153.71875,215,1,2,265
4315,-2.9458330000000004,52.745833,223590.859375,215,1,2,265
4316,-2.9375,52.745833,223028.0,215,1,2,265
4317,-2.9375,52.7375,222100.65625,215,1,2,265
4318,-2.929167,52.7375,221537.6875,215,1,2,265
4319,-2.920833,52.7375,220974.71875,215,1,2,265
4320,-2.9125,52.7375,220411.75,215,1,2,265
4321,-2.9125,52.729167,219484.40625,215,1,2,265
4322,-2.904167,52.729167,218921.328125,215,1,2,265
4323,-2.895833,52.729167,218358.25,215,1,2,265
4324,-2.8875,52.729167,217795.171875,215,1,2,265
4325,-2.879167,52.729167,217232.09375,215,1,2,265
4326,-2.870833,52.729167,216669.015625,215,1,2,265
4327,-2.8625,52.729167,216105.9375,215,1,2,265
4328,-2.8625,52.720833,215178.59375,215,1,2,265
4329,-2.854167,52.720833,214615.40625,215,1,2,265
4330,-2.854167,52.729167,213688.0625,215,1,2,265
4331,-2.8458330000000003,52.729167,213124.984375,215,1,2,265
4332,-2.8458330000000003,52.7375,212197.640625,215,1,2,265
4333,-2.8375,52.7375,211634.671875,215,1,2,265
4334,-2.8375,52.745833,210707.328125,215,1,2,265
4335,-2.829167,52.745833,210144.46875,215,1,2,265
4336,-2.8208330000000004,52.745833,209581.609375,215,1,2,265
4337,-2.8125,52.745833,209018.75,215,1,2,265
4338,-2.8125,52.754167,208091.40625,215,1,2,265
4339,-2.804167,52.754167,207528.65625,215,1,2,265
4340,-2.795833,52.754167,206965.90625,215,1,2,265
4341,-2.795833,52.745833,206038.5625,215,1,2,265
4342,-2.795833,52.7375,205111.21875,215,1,2,265
4343,-2.795833,52.729167,204183.875,215,1,2,265
4344,-2.7875,52.729167,203620.796875,215,1,2,265
4345,-2.7875,52.720833,202693.453125,215,1,2,265
4346,-2.779167,52.720833,202130.265625,215,1,2,265
4347,-2.770833,52.720833,201567.078125,215,1,2,265
4348,-2.770833,52.7125,200639.734375,215,1,2,265
4349,-2.7625,52.7125,200076.4375,215,1,2,265
4350,-2.754167,52.7125,199513.140625,215,1,2,265
4351,-2.754167,52.70416700000001,198585.796875,215,1,2,265
4352,-2.745833,52.70416700000001,198022.390625,215,1,2,265
4353,-2.745833,52.7125,197095.046875,215,1,2,265
4354,-2.7375,52.7125,196531.75,215,1,2,265
4355,-2.7375,52.720833,195604.40625,215,1,2,265
4356,-2.729167,52.720833,195041.21875,215,1,2,265
4357,-2.7208330000000003,52.720833,194478.03125,215,1,2,265
4358,-2.7208330000000003,52.7125,193550.6875,215,1,2,265
4359,-2.7125,52.7125,192987.390625,215,1,2,265
4360,-2.7125,52.70416700000001,192060.046875,215,1,2,265
4361,-2.7125,52.69583299999999,191132.703125,215,1,2,265
4362,-2.704167,52.69583299999999,190569.1875,215,1,2,265
4363,-2.704167,52.6875,189641.84375,215,1,2,265
4364,-2.6958330000000004,52.6875,189078.234375,215,1,2,265
4365,-2.6958330000000004,52.67916700000001,188150.90625,215,1,2,265
4366,-2.6875,52.67916700000001,187587.1875,215,1,2,265
4367,-2.679167,52.67916700000001,187023.46875,215,1,2,265
4368,-2.679167,52.670833,186096.140625,215,1,2,265
4369,-2.670833,52.670833,185532.3125,215,1,2,265
4370,-2.670833,52.67916700000001,184604.984375,215,1,2,265
4371,-2.6625,52.67916700000001,184041.265625,215,1,2,265
5980,-2.6625,52.670833,183113.9375,265,1,2,276
5981,-2.654167,52.670833,182550.109375,265,1,2,276
5982,-2.654167,52.6625,181622.78125,265,1,2,276
5983,-2.645833,52.6625,181058.84375,265,1,2,276
5984,-2.645833,52.654167,180131.515625,265,1,2,276
5985,-2.645833,52.645833,179204.1875,265,1,2,276
5986,-2.6375,52.645833,178640.03125,265,1,2,276
5987,-2.629167,52.645833,178075.875,265,1,2,276
5988,-2.620833,52.645833,177511.71875,265,1,2,276
5989,-2.6125,52.645833,176947.5625,265,1,2,276
5990,-2.6125,52.6375,176020.234375,265,1,2,276
5991,-2.604167,52.6375,175455.96875,265,1,2,276
5992,-2.5958330000000003,52.6375,174891.703125,265,1,2,276
5993,-2.5875,52.6375,174327.4375,265,1,2,276
5994,-2.579167,52.6375,173763.171875,265,1,2,276
5995,-2.5708330000000004,52.6375,173198.90625,265,1,2,276
5996,-2.5625,52.6375,172634.640625,265,1,2,276
5997,-2.554167,52.6375,172070.375,265,1,2,276
5998,-2.545833,52.6375,171506.109375,265,1,2,276
5999,-2.5375,52.6375,170941.84375,265,1,2,276
6000,-2.529167,52.6375,170377.578125,265,1,2,276
6001,-2.520833,52.6375,169813.3125,265,1,2,276
6002,-2.5125,52.6375,169249.046875,265,1,2,276
6003,-2.5125,52.629167,168321.71875,265,1,2,276
6004,-2.504167,52.629167,167757.359375,265,1,2,276
6005,-2.495833,52.629167,167193.0,265,1,2,276
6006,-2.4875,52.629167,166628.640625,265,1,2,276
6007,-2.479167,52.629167,166064.28125,265,1,2,276
6008,-2.4708330000000003,52.629167,165499.921875,265,1,2,276
6009,-2.4708330000000003,52.620833,164572.59375,265,1,2,276
6010,-2.4625,52.620833,164008.125,265,1,2,276
6011,-2.454167,52.620833,163443.65625,265,1,2,276
6012,-2.4458330000000004,52.620833,162879.1875,265,1,2,276
6013,-2.4458330000000004,52.6125,161951.859375,265,1,2,276
6014,-2.4375,52.6125,161387.28125,265,1,2,276
6015,-2.4375,52.604167,160459.953125,265,1,2,276
6016,-2.429167,52.604167,159895.265625,265,1,2,276
6017,-2.429167,52.595833,158967.9375,265,1,2,276
6018,-2.4375,52.595833,158403.140625,265,1,2,276
6019,-2.4375,52.5875,157475.8125,265,1,2,276
6020,-2.4375,52.57916700000001,156548.5,265,1,2,276
6021,-2.429167,52.57916700000001,155983.484375,265,1,2,276
6022,-2.420833,52.57916700000001,155418.46875,265,1,2,276
6023,-2.420833,52.57083299999999,154491.15625,265,1,2,276
6024,-2.4125,52.57083299999999,153926.046875,265,1,2,276
6025,-2.4125,52.5625,152998.734375,265,1,2,276
6026,-2.4125,52.55416700000001,152071.421875,265,1,2,276
6027,-2.4125,52.545833,151144.109375,265,1,2,276
6028,-2.4125,52.5375,150216.796875,265,1,2,276
6029,-2.4125,52.529167,149289.484375,265,1,2,276
6030,-2.4125,52.520833,148362.171875,265,1,2,276
6031,-2.404167,52.520833,147796.40625,265,1,2,276
6032,-2.395833,52.520833,147230.640625,265,1,2,276
6033,-2.395833,52.5125,146303.328125,265,1,2,276
6034,-2.3875,52.5125,145737.46875,265,1,2,276
6035,-2.3875,52.504167,144810.15625,265,1,2,276
6036,-2.3875,52.495833,143882.84375,265,1,2,276
6037,-2.3875,52.4875,142955.53125,265,1,2,276
6038,-2.379167,52.4875,142389.34375,265,1,2,276
6039,-2.379167,52.479167,141462.046875,265,1,2,276
6040,-2.370833,52.479167,140895.75,265,1,2,276
6041,-2.370833,52.470833,139968.453125,265,1,2,276
6042,-2.370833,52.4625,139041.15625,265,1,2,276
6043,-2.379167,52.4625,138474.65625,265,1,2,276
6044,-2.379167,52.45416700000001,137547.359375,265,1,2,276
6045,-2.370833,52.45416700000001,136980.75,265,1,2,276
6046,-2.370833,52.44583299999999,136053.453125,265,1,2,276
6047,-2.370833,52.4375,135126.15625,265,1,2,276
6048,-2.3625,52.4375,134559.328125,265,1,2,276
6049,-2.3625,52.42916700000001,133632.03125,265,1,2,276
6050,-2.3625,52.420833,132704.734375,265,1,2,276
6051,-2.354167,52.420833,132137.6875,265,1,2,276
6052,-2.354167,52.4125,131210.390625,265,1,2,276
6053,-2.3458330000000003,52.4125,130643.25,265,1,2,276
6054,-2.3458330000000003,52.404167,129715.96093800002,265,1,2,276
6055,-2.3375,52.404167,129148.703125,265,1,2,276
6056,-2.3375,52.395833,128221.41406199998,265,1,2,276
6057,-2.329167,52.395833,127654.05468800002,265,1,2,276
6058,-2.329167,52.3875,126726.765625,265,1,2,276
6059,-2.329167,52.379167,125799.47656199998,265,1,2,276
6060,-2.3208330000000004,52.379167,125231.89843800002,265,1,2,276
6061,-2.3125,52.379167,124664.32031199998,265,1,2,276
6062,-2.3125,52.37083300000001,123737.03125,265,1,2,276
6063,-2.304167,52.37083300000001,123169.35156199998,265,1,2,276
6064,-2.304167,52.3625,122242.0625,265,1,2,276
6065,-2.3125,52.3625,121674.27343800002,265,1,2,276
6066,-2.3125,52.354167,120746.99218800002,265,1,2,276
6067,-2.3125,52.345833,119819.71093800002,265,1,2,276
6068,-2.304167,52.345833,119251.71093800002,265,1,2,276
6069,-2.295833,52.345833,118683.71093800002,265,1,2,276
6070,-2.295833,52.3375,117756.42968800002,265,1,2,276
6071,-2.2875,52.3375,117188.32031199998,265,1,2,276
6072,-2.279167,52.3375,116620.21093800002,265,1,2,276
6073,-2.279167,52.329167,115692.92968800002,265,1,2,276
6074,-2.270833,52.329167,115124.71093800002,265,1,2,276
6075,-2.270833,52.320833,114197.42968800002,265,1,2,276
6076,-2.270833,52.3125,113270.14843800002,265,1,2,276
6077,-2.270833,52.304167,112342.875,265,1,2,276
6078,-2.270833,52.295833,111415.60156199998,265,1,2,276
6079,-2.270833,52.2875,110488.328125,265,1,2,276
6080,-2.270833,52.279167,109561.05468800002,265,1,2,276
6081,-2.270833,52.270833,108633.78125,265,1,2,276
6082,-2.2625,52.270833,108064.82031199998,265,1,2,276
6083,-2.254167,52.270833,107495.859375,265,1,2,276
6084,-2.254167,52.2625,106568.59375,265,1,2,276
6085,-2.245833,52.2625,105999.523438,265,1,2,276
6086,-2.245833,52.254167,105072.257812,265,1,2,276
6087,-2.2375,52.254167,104503.078125,265,1,2,276
6088,-2.2375,52.24583300000001,103575.8125,265,1,2,276
6089,-2.2375,52.2375,102648.546875,265,1,2,276
6090,-2.2375,52.229167,101721.28125,265,1,2,276
6091,-2.245833,52.229167,101151.78125,265,1,2,276
6092,-2.245833,52.220833,100224.515625,265,1,2,276
6093,-2.245833,52.2125,99297.257812,265,1,2,276
6094,-2.2375,52.2125,98727.546875,265,1,2,276
6095,-2.2375,52.204167,97800.289062,265,1,2,276
6096,-2.2375,52.195833,96873.03125,265,1,2,276
6097,-2.229167,52.195833,96303.109375,265,1,2,276
6098,-2.229167,52.1875,95375.851562,265,1,2,276
6099,-2.229167,52.179167,94448.59375,265,1,2,276
5575,-2.229167,52.170833,93521.335938,276,1,2,286
5576,-2.229167,52.1625,92594.085938,276,1,2,286
5577,-2.229167,52.154167,91666.835938,276,1,2,286
5578,-2.229167,52.145833,90739.585938,276,1,2,286
5579,-2.229167,52.1375,89812.335938,276,1,2,286
5580,-2.229167,52.129167,88885.085938,276,1,2,286
5581,-2.229167,52.12083300000001,87957.835938,276,1,2,286
5582,-2.2375,52.12083300000001,87386.953125,276,1,2,286
5583,-2.2375,52.1125,86459.710938,276,1,2,286
5584,-2.2375,52.104167,85532.46875,276,1,2,286
5585,-2.229167,52.104167,84961.375,276,1,2,286
5586,-2.229167,52.095833,84034.132812,276,1,2,286
5587,-2.2208330000000003,52.095833,83462.929688,276,1,2,286
5588,-2.2208330000000003,52.0875,82535.6875,276,1,2,286
5589,-2.2208330000000003,52.079167,81608.445312,276,1,2,286
5590,-2.2208330000000003,52.070833,80681.203125,276,1,2,286
5591,-2.2125,52.070833,80109.6875,276,1,2,286
5592,-2.2125,52.0625,79182.453125,276,1,2,286
5593,-2.204167,52.0625,78610.828125,276,1,2,286
5594,-2.204167,52.054167,77683.59375,276,1,2,286
5595,-2.204167,52.045833,76756.359375,276,1,2,286
5596,-2.204167,52.0375,75829.125,276,1,2,286
5597,-2.204167,52.029167,74901.890625,276,1,2,286
5598,-2.1958330000000004,52.029167,74329.835938,276,1,2,286
5599,-2.1958330000000004,52.020833,73402.601562,276,1,2,286
5600,-2.1875,52.020833,72830.445312,276,1,2,286
5601,-2.1875,52.0125,71903.21875,276,1,2,286
5602,-2.179167,52.0125,71330.953125,276,1,2,286
5603,-2.179167,52.004167,70403.726562,276,1,2,286
5604,-2.170833,52.004167,69831.359375,276,1,2,286
5479,-2.170833,51.99583300000001,68904.132812,286,1,2,296
5480,-2.170833,51.9875,67976.90625,286,1,2,296
5481,-2.179167,51.9875,67404.320312,286,1,2,296
5482,-2.179167,51.979167,66477.09375,286,1,2,296
5483,-2.1875,51.979167,65904.40625,286,1,2,296
5484,-2.1958330000000004,51.979167,65331.71484400001,286,1,2,296
5485,-2.1958330000000004,51.970833,64404.492188,286,1,2,296
5486,-2.204167,51.970833,63831.69921900001,286,1,2,296
5487,-2.204167,51.9625,62904.476562,286,1,2,296
5488,-2.2125,51.9625,62331.57421900001,286,1,2,296
5489,-2.2125,51.954167,61404.35546900001,286,1,2,296
5490,-2.2208330000000003,51.954167,60831.34765599999,286,1,2,296
5491,-2.229167,51.954167,60258.33984400001,286,1,2,296
5492,-2.229167,51.945833,59331.12109400001,286,1,2,296
5493,-2.2375,51.945833,58758.007812,286,1,2,296
5494,-2.2375,51.9375,57830.789062,286,1,2,296
5495,-2.229167,51.9375,57257.570312,286,1,2,296
5496,-2.229167,51.929167,56330.35546900001,286,1,2,296
5497,-2.2375,51.929167,55757.03125,286,1,2,296
5498,-2.245833,51.929167,55183.70703099999,286,1,2,296
5499,-2.254167,51.929167,54610.382812,286,1,2,296
5500,-2.254167,51.920833,53683.167969,286,1,2,296
5501,-2.2625,51.920833,53109.734375,286,1,2,296
5502,-2.2625,51.9125,52182.519531,286,1,2,296
5503,-2.270833,51.9125,51608.980469,286,1,2,296
5504,-2.270833,51.904167,50681.769531,286,1,2,296
5505,-2.270833,51.895833,49754.558594,286,1,2,296
5506,-2.2625,51.895833,49180.808594,286,1,2,296
5507,-2.2625,51.8875,48253.597656,286,1,2,296
5508,-2.254167,51.8875,47679.742188,286,1,2,296
5509,-2.254167,51.879167,46752.535156,286,1,2,296
5510,-2.2625,51.879167,46178.574219,286,1,2,296
5511,-2.2625,51.87083300000001,45251.367188,286,1,2,296
5512,-2.2625,51.8625,44324.160156,286,1,2,296
5513,-2.2625,51.854167,43396.957031,286,1,2,296
5514,-2.270833,51.854167,42822.675781,286,1,2,296
5515,-2.270833,51.845833,41895.472656,286,1,2,296
5516,-2.279167,51.845833,41321.085938,286,1,2,296
5517,-2.2875,51.845833,40746.699219,286,1,2,296
5518,-2.2875,51.8375,39819.496094,286,1,2,296
5519,-2.295833,51.8375,39245.003906,286,1,2,296
5520,-2.304167,51.8375,38670.511719,286,1,2,296
5521,-2.3125,51.8375,38096.019531,286,1,2,296
5522,-2.3125,51.845833,37168.820312,286,1,2,296
5523,-2.3208330000000004,51.845833,36594.433594,286,1,2,296
5524,-2.329167,51.845833,36020.046875,286,1,2,296
5525,-2.3375,51.845833,35445.660156,286,1,2,296
5526,-2.3458330000000003,51.845833,34871.273438,286,1,2,296
5527,-2.3458330000000003,51.8375,33944.070312,286,1,2,296
